service_id,date,exception_type
WK,20100110,2
WK,20100111,1
WK,20100112,1
WK,20100113,1
WK,20100114,1
WK,20100115,1
WK,20100116,2
WK,20100117,2
WK,20100118,1
WK,20100119,1
WK,20100120,1
WK,20100121,1
WK,20100122,1
WK,20100123,2
WK,20100124,2
WK,20100125,1
WK,20100126,1
WK,20100127,1
WK,20100128,1
WK,20100129,1
WK,20100130,2
WK,20100131,2
WK,20100201,1
WK,20100202,1
WK,20100203,1
WK,20100204,1
WK,20100205,1
WK,20100206,2
WK,20100207,2
WK,20100208,1
WK,20100209,1
WK,20100210,1
WK,20100211,1
WK,20100212,1
WK,20100213,2
WK,20100214,2
WK,20100215,1
WK,20100216,1
WK,20100217,1
WK,20100218,1
WK,20100219,1
WK,20100220,2
WK,20100221,2
WK,20100222,1
WK,20100223,1
WK,20100224,1
WK,20100225,1
WK,20100226,1
WK,20100227,2
WK,20100228,2
WK,20100301,1
WK,20100302,1
WK,20100303,1
WK,20100304,1
WK,20100305,1
WK,20100306,2
WK,20100307,2
WK,20100308,1
WK,20100309,1
WK,20100310,1
WK,20100311,1
WK,20100312,1
WK,20100313,2
WK,20100314,2
WK,20100315,1
WK,20100316,1
WK,20100317,1
WK,20100318,1
WK,20100319,1
WK,20100320,2
WK,20100321,2
WK,20100322,1
WK,20100323,1
WK,20100324,1
WK,20100325,1
WK,20100326,1
WK,20100327,2
WK,20100328,2
WK,20100329,1
WK,20100330,1
WK,20100331,1
WK,20100401,1
WK,20100402,1
WK,20100403,2
WK,20100404,2
WK,20100405,1
WK,20100406,1
WK,20100407,1
WK,20100408,1
WK,20100409,1
WK,20100410,2
WK,20100411,2
WK,20100412,1
WK,20100413,1
WK,20100414,1
WK,20100415,1
WK,20100416,1
WK,20100417,2
WK,20100418,2
WK,20100419,1
WK,20100420,1
WK,20100421,1
WK,20100422,1
WK,20100423,1
WK,20100424,2
WK,20100425,2
WK,20100426,1
WK,20100427,1
WK,20100428,1
WK,20100429,1
WK,20100430,1
WK,20100501,2
SA,20100110,2
SA,20100111,2
SA,20100112,2
SA,20100113,2
SA,20100114,2
SA,20100115,2
SA,20100116,1
SA,20100117,2
SA,20100118,2
SA,20100119,2
SA,20100120,2
SA,20100121,2
SA,20100122,2
SA,20100123,1
SA,20100124,2
SA,20100125,2
SA,20100126,2
SA,20100127,2
SA,20100128,2
SA,20100129,2
SA,20100130,1
SA,20100131,2
SA,20100201,2
SA,20100202,2
SA,20100203,2
SA,20100204,2
SA,20100205,2
SA,20100206,1
SA,20100207,2
SA,20100208,2
SA,20100209,2
SA,20100210,2
SA,20100211,2
SA,20100212,2
SA,20100213,1
SA,20100214,2
SA,20100215,2
SA,20100216,2
SA,20100217,2
SA,20100218,2
SA,20100219,2
SA,20100220,1
SA,20100221,2
