route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
0,SA,5266301, 0 Downtown,0,   0  1,487531
0,SA,5266302, 0 Downtown,0,   0  5,487531
0,SA,5266303, 0 Downtown,0,   0  9,487534
0,SA,5266304, 0 Downtown,0,   0  1,487534
0,SA,5266305, 0 Downtown,0,   0 19,487534
0,SA,5266306, 0 Downtown,0,   0  5,487534
0,SA,5266307, 0 Downtown,0,   0  6,487534
0,SA,5266308, 0 Downtown,0,   0  6,487530
0,SA,5266309, 0 Downtown,0,   0  1,487534
0,SA,5266310, 0 Downtown,0,   0 12,487536
0,SA,5266311, 0 Downtown,0,   0 10,487530
0,SA,5266312, 0 Downtown,0,   0 15,487534
0,SA,5266313, 0 Downtown,0,   0 10,487534
0,SA,5266314, 0 Downtown,0,   0  6,487534
0,SA,5266315, 0 Downtown,0,   0  2,487534
0,SA,5266316, 0 Downtown,0,   0  9,487534
0,SA,5266317, 0 Downtown,0,   0 19,487536
0,SA,5266318, 0 Downtown,0,   0  1,487530
0,SA,5266319, 0 Downtown,0,   0 10,487530
0,SA,5266320, 0 Downtown,0,   0  4,487534
0,SA,5266321, 0 Downtown,0,   0 15,487534
0,SA,5266322, 0 Downtown,0,   0 19,487534
0,SA,5266323, 0 Downtown,0,   0 14,487530
0,SA,5266324, 0 Downtown,0,   0 15,487530
0,SA,5266325, 0 Downtown,0,   0  6,487532
0,SA,5266326, 0 Downtown,0,   0 12,487531
0,SA,5266327, 0 Downtown,0,   0  2,487530
0,SA,5266328, 0 Downtown,0,   0 12,487534
0,SA,5266329, 0 Downtown,0,   0 19,487534
0,SA,5266330, 0 Downtown,0,   0 10,487534
0,SA,5266331, 0 Downtown,0,   0  4,487530
0,SA,5266332, 0 Downtown,0,   0 14,487534
0,SA,5266333, 0 Downtown,0,   0 19,487536
0,SA,5266334, 0 Downtown,0,   0  7,487531
0,SA,5266335, 0 Downtown,0,   0  8,487531
0,SA,5266336, 0 Downtown,0,   0  7,487534
0,SA,5266337, 0 Downtown,0,   0  5,487531
0,SA,5266338, 0 Downtown,0,   0  4,487530
0,SA,5266339, 0 Downtown,0,   0 12,487536
0,SA,5266340, 0 Downtown,0,   0  8,487531
0,SA,5266341, 0 Downtown,0,   0 12,487530
0,SA,5266342, 0 Downtown,0,   0 12,487530
0,SA,5266343, 0 Downtown,0,   0 19,487530
0,SA,5266344, 0 Downtown,0,   0  1,487536
0,SA,5266345, 0 Downtown,0,   0  2,487530
0,SA,5266346, 0 Downtown,0,   0  2,487530
0,SA,5266347, 0 Downtown,0,   0  2,487530
0,SA,5266348, 0 Downtown,0,   0  4,487530
0,SA,5266349, 0 Downtown,0,   0  2,487534
0,SA,5266350, 0 Downtown,0,   0  6,487530
0,SA,5266351, 0 Downtown,0,   0  8,487531
0,SA,5266352, 0 Downtown,0,   0  1,487531
0,SA,5266353, 0 Downtown,0,   0  5,487531
0,SA,5266354, 0 Downtown,0,   0  9,487531
0,SA,5266355, 0 Downtown,0,   0  7,487531
0,SA,5266356, 0 Downtown,0,   0  8,487531
0,SA,5266357, 0 Downtown,0,   0  1,487531
0,SA,5266358, 0 Downtown,0,   0 19,487536
0,SA,5266359, 0 Downtown,0,   0 11,487530
0,SA,5266360, 0 Downtown,0,   0 13,487534
0,SA,5266361, 0 Downtown,0,   0 15,487534
0,SA,5266362, 0 Downtown,0,   0 11,487534
0,SA,5266363, 0 Downtown,0,   0 19,487534
0,SA,5266364, 0 Downtown,0,   0  5,487534
0,SA,5266365, 0 Downtown,0,   0 13,487534
0,SA,5266366, 0 Downtown,0,   0 11,487530
0,SA,5266367, 0 Downtown,0,   0 12,487536
